plan_id,model_id,method,seed,dataset,training_mode,aggregation,validation_utility,validation_macro_f1,test_utility,test_macro_f1,accuracy_loss,rounds_completed,rounds_to_target,target_reached,peak_memory_bytes,compute_to_target_seconds,communication_to_target_bytes,latency_to_target_seconds,mean_round_latency_seconds,privacy_risk,energy_to_target_joules,feasible,violations,normalized_memory,normalized_compute,normalized_communication,normalized_energy,normalized_latency,normalized_privacy,normalized_accuracy,tradefl_score
llama3_8b_qlora,meta-llama/Meta-Llama-3-8B,qlora,42,pubmedqa,real_federated,FedAvg,0.7,0.4775209550419101,0.7,0.5077755240027045,0.2,1,1.0,True,15715175424,360.56217064522207,81788928,967.758532148786,967.758532148786,0.25,32850.79874193917,False,memory_capacity_exceeded;round_latency_exceeded,,,,,,,,
llama3_8b_qlora,meta-llama/Meta-Llama-3-8B,qlora,43,pubmedqa,real_federated,FedAvg,0.73,0.5052665694376924,0.69,0.4987004548408056,0.17,2,2.0,True,26513048064,738.291279874742,163577856,1986.8899342436343,993.4449671218172,0.25,67557.55215189973,False,memory_capacity_exceeded;round_latency_exceeded,,,,,,,,
llama3_8b_qlora,meta-llama/Meta-Llama-3-8B,qlora,44,pubmedqa,real_federated,FedAvg,0.7,0.4746770025839792,0.68,0.4895833333333333,0.2,1,1.0,True,26507280896,367.5188333168626,81788928,919.843644090928,919.843644090928,0.25,32793.96096642197,False,memory_capacity_exceeded;round_latency_exceeded,,,,,,,,
llama3_8b_lora,meta-llama/Meta-Llama-3-8B,lora,42,pubmedqa,real_federated,FedAvg,0.76,0.5257237386269644,0.72,0.5217391304347826,0.14,1,1.0,True,32215944192,147.93908196594566,81788928,725.4748049229383,725.4748049229383,0.25,19142.18051123695,False,memory_capacity_exceeded;round_latency_exceeded,,,,,,,,
llama3_8b_lora,meta-llama/Meta-Llama-3-8B,lora,43,pubmedqa,real_federated,FedAvg,0.71,0.4908888358398982,0.73,0.5276530323259295,0.19,1,1.0,True,32215944192,146.40648187324405,81788928,758.0402360754088,758.0402360754088,0.25,19421.20698172865,False,memory_capacity_exceeded;round_latency_exceeded,,,,,,,,
llama3_8b_lora,meta-llama/Meta-Llama-3-8B,lora,44,pubmedqa,real_federated,FedAvg,0.75,0.514774362882059,0.71,0.51241225817497,0.15,1,1.0,True,32215944192,147.76621623523533,81788928,725.8444324573502,725.8444324573502,0.25,19147.85053306878,False,memory_capacity_exceeded;round_latency_exceeded,,,,,,,,
deepseek_r1_distill_llama_8b_lora,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,lora,42,pubmedqa,real_federated,FedAvg,0.73,0.5030536804885889,0.69,0.4966931216931217,0.17,1,1.0,True,32215944192,144.89672722667456,81788928,747.9276394117624,747.9276394117624,0.25,19277.632358251667,False,memory_capacity_exceeded;round_latency_exceeded,,,,,,,,
deepseek_r1_distill_llama_8b_lora,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,lora,43,pubmedqa,real_federated,FedAvg,0.74,0.5128576020572163,0.69,0.4977886977886978,0.16,1,1.0,True,32215944192,147.8835746087134,81788928,717.851513877511,717.851513877511,0.25,19005.077721400125,False,memory_capacity_exceeded;round_latency_exceeded,,,,,,,,
deepseek_r1_distill_llama_8b_lora,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,lora,44,pubmedqa,real_federated,FedAvg,0.74,0.5094246031746031,0.68,0.4869565217391304,0.16,1,1.0,True,32215944192,145.68604245129973,81788928,717.7584846047685,717.7584846047685,0.25,18981.598251439875,False,memory_capacity_exceeded;round_latency_exceeded,,,,,,,,
bio_clinicalbert_baseline,emilyalsentzer/Bio_ClinicalBERT,full_finetuning,42,pubmedqa,real_federated,FedAvg,0.59,0.2473794549266247,0.49,0.2192393736017897,0.31,20,,False,16577931776,257.3586568245664,51990037920,465.6005393080413,23.280026965402065,0.25,15046.228528685937,False,memory_capacity_exceeded,,,,,,,,
qwen2_5_7b_centralized_baseline,Qwen/Qwen2.5-7B-Instruct,centralized_huggingface,42,pubmedqa,centralized_local,none,0.3,0.3092463092463092,0.27,0.2858228562742926,0.6000000000000001,0,,False,15367309824,169.79241111222655,0,169.79241111222655,169.79241111222655,0.05,4444.916131904098,False,memory_capacity_exceeded;round_latency_exceeded;minimum_validation_utility_not_met,,,,,,,,
